ID,CLASS,Assignment,Company,Address,City,state,zip,country,Gem SQ,Gem Solar,Unnamed: 11,Sq Ft,Industry,Sub Industry,Notes,Geocoded_address,X,Y,Operator,Utility,Est. deal size,Resiliency Need,Owner-occupied?,Unnamed: 24,Unnamed: 25
275,CORE,Yonah,Crown Holdings,1035 E North St,Bradley,IL,60915,United States,,,N,"187,567",Industrial,,,"1035 E North St, Bradley, Illinois, 60915",-87.8494,41.14808,PJM,Comed,Large,High,Yes,,
276,CORE,Yonah,Crown Holdings,11535 S Central Ave,Alsip,IL,60803,United States,,,N,"300,000",Industrial,,,"11535 Central Avenue, Alsip, Illinois, 60803",-87.7588,41.68153,PJM,Comed,0,Low,No,,
277,CORE,Yonah,Crown Holdings,1600 Central Ave,Roselle,IL,60172,United States,,,N,"300,000",Industrial,,,"1600 Central Ave, Roselle, Illinois, 60172",-88.1212,41.98235,PJM,Comed,0,Low,No,,
278,CORE,Yonah,Crown Holdings,5555 W 115th St,Alsip,IL,60803,United States,,,N,"250,000",Industrial,,,"5555 115Th Street, Alsip, Illinois, 60803",-87.7566,41.68322,PJM,Comed,Large,Low,No,,
279,1+,Julia,Cumar Inc,69 Norman St,Everett,MA,2149,United States,,,,"21,400",Manufacturing,,"too small, multi tenant","69 Norman Street, Everett, Massachusetts, 02149",-71.0672,42.4058,ISO-NE,N'Grid,,,,,
280,1+,Julia,Cumberland Farms,165 Flanders Rd,Westborough,MA,1581,United States,,,,,,,,"165 Flanders Road, Westborough, Massachusetts, 01581",-71.559,42.27091,ISO-NE,N'Grid,,,,,
281,1+,Yonah,Cummings Properties LLC,42 Dunham Rd,Beverly,MA,1915,United States,,,Y,"168,000",Real Estate,,Multi-building site,"42 Dunham Ridge, Beverly, Massachusetts, 01915",-70.8754,42.57512,ISO-NE,N'Grid,,,,25791173,www.cummings.com
282,CORE,Julia,CVS,570 Pigeon Hill Rd,Windsor,CT,6095,Hartford,,,Y,,Telecom Hotel/Data Hosting,,,"570 Pigeon Hill Rd, Windsor, Connecticut, 06095",-72.6801,41.86494,ISO-NE,Eversource,Med,Extremely High,No,,
283,CORE,Julia,CVS Pharmacy,134 Van Keuren Ave,Jersey City,NJ,7306,United States,,,N,,Manufacturing,,,"134 Van Keuren Ave, Jersey City, New Jersey, 07306",-74.0733,40.74461,PJM,PSE&G,,,,,
284,CORE,Julia,CVS Pharmacy,1 Berry Dr,Lumberton,NJ,8048,United States,,,N,,Distribution,,,"1 Berry Dr, Lumberton, New Jersey, 08048",-74.8103,39.97727,PJM,PSE&G,,,,,
285,CORE,Yonah,Daimler Truck,1140 Commerce Blvd,Logan Township,NJ,8085,United States,,,N,,Industrial,,,"1140 Commerce Blvd, Swedesboro, New Jersey, 08085",-75.3799,39.76508,PJM,ACE,,,,,
286,1+,Julia,Darn It! Inc.,630-686 Belleville Ave,New Bedford,MA,2745,United States,,,,,Transportation,Freight & Logistics Services,,"686 Belleville Avenue, New Bedford, Massachusetts, 02745",-70.9205,41.67098,ISO-NE,Eversource,,,,33248384,www.darnit.com
287,CORE,Julia,Dart Container,5000 183rd St,Country Club Hills,IL,60478,United States,,,N,"1,033,450",Distribution,,,"5000 183rd St, Country Club Hills, Illinois, 60478",-87.7422,41.55709,PJM,Comed,Large,Low,No,,
288,CORE+,Julia,Dart Container,701 Central Ave,University Park,IL,60484-3139,United States,,,,"1,552,475",Distribution,,,"701 Central Ave, University Park, Illinois, 60484",-87.7479,41.44334,PJM,Comed,,,,,
289,CORE,Julia,Dart Container,7575 S Kostner Ave,Chicago,IL,60652,United States,,,N,"820,000",Manufacturing,,,"7575 South Kostner Avenue, Chicago, Illinois, 60652",-87.7324,41.75681,PJM,Comed,Large,Low,Yes,,
290,1+,Yonah,David Clark Company Incorporated,360 Franklin St,Worcester,MA,1604,United States,,,,"129,000",Manufacturing,Electronics,,"360 Franklin Street, Worcester, Massachusetts, 01604",-71.7878,42.26034,ISO-NE,N'Grid,,,,10651000,www.davidclarkcompany.com
291,1+,Julia,Dayton Superior,2400 Arthur Ave,Elk Grove Village,IL,60007-6017,United States,,,,"230,766",Manufacturing,,,"2400 Arthur Avenue, Elk Grove Village, Illinois, 60007",-87.9437,41.99596,PJM,Comed,,,,,
292,1+,Yonah,DCS Logistics,4000 Rock Creek Blvd,Joliet,IL,60431,United States,,,N,"360,000",Distribution,,,"4000 Rock Creek Blvd, Joliet, Illinois, 60431",-88.1784,41.48903,PJM,Comed,,,,,
293,1,Julia,Deitsch Plastic Co Inc,14 Farwell St,West Haven,CT,6516,,,,Y,,Manufacturing,,,"14 Farwell St, West Haven, Connecticut, 06516",-72.9794,41.2881,ISO-NE,,Med,High,,,
294,1+,Julia,Del Monte Corporation,701 N Broadway Ave,Gloucester City,NJ,8030,United States,,,,"1,265,000",Manufacturing,,,"701 N Broadway, Gloucester City, New Jersey, 08030",-75.1201,39.90638,PJM,PSE&G,Multi,,,,
295,1+,Julia,Del Monte Foods,420 Jack Dame Rd,Rochelle,IL,61068,United States,,,N,"423,195",Food Supplier,,2nd Facility,"420 Jack Dame Rd, Rochelle, Illinois, 61068",-89.0786,41.91489,PJM,Comed,,,,,
296,1+,Julia,Del Monte Foods,501 S Steward Rd suite 200,Rochelle,IL,61068,United States,,,N,"582,254",Food Supplier,,Potential multi-tenant,"501 S Steward Rd, Rochelle, Illinois, 61068",-89.0395,41.89809,PJM,Comed,,,,,
297,1+,Yonah,Dell Technologies,5-32 Coslin Dr,Southborough,MA,1772,United States,,,,"159,000",Business Services,,,"32 Coslin Drive, Southborough, Massachusetts, 01772",-71.5556,42.285,ISO-NE,N'Grid,,,,12796394,www.dellemc.com
298,1,Yonah,Devli Real Estate,510 River Rd,Shelton,CT,6484,,,,N,"213,096",Manufacturing,,,"510 River Rd, Shelton, Connecticut, 06484",-73.0795,41.28787,ISO-NE,,Large,Extremely High,,,
299,1+,Julia,Dexter Magnetic Technologies,801 Innovation Dr Suite A,Elk Grove Village,IL,60007,United States,,,N,"138,910",Manufacturing,,,"801 Innovation Dr, Unit A, Elk Grove Village, Illinois, 60007",-87.9768,42.02604,PJM,Comed,,,,,
300,CORE,Yonah,DFA,11712 Mill St,Huntley,IL,60142,United States,,,N,"150,000",Manufacturing,,,"11712 Mill St, Huntley, Illinois, 60142",-88.4248,42.16615,PJM,Comed,Large,Low,Unclear,,
301,CORE,Yonah,DFA,630 Meadow St,Belvidere,IL,61008,United States,,,N,"104,700",Manufacturing,,,"630 Meadow St, Belvidere, Illinois, 61008",-88.8352,42.26151,PJM,Comed,Med,Low,Yes,,
302,CORE,Yonah,DFA,1199 W Central St,Franklin,MA,2038,United States,,,N,,Manufacturing,,,"1199 W Central Street, Franklin, Massachusetts, 02038",-71.4446,42.08648,ISO-NE,N'Grid,Large,Low,Yes,,
303,1,Julia,DFP Enterprises,2-4 Toelles Rd,Wallingford,CT,6492,,,,N,,Manufacturing,,,"4 Toelles Rd, Wallingford, Connecticut, 06492",-72.8368,41.42965,ISO-NE,,Med,High,,,
304,CORE,Julia,DHL,1151 E Laraway Rd,Joliet,IL,60433,United States,,,N,"300,000",Industrial,,,"1151 E Laraway Rd, Joliet, Illinois, 60433",-88.053,41.48148,PJM,Comed,Med,High,No,,
305,CORE+,Julia,DHL,11601 W Touhy Ave building 893,Des Plaines,IL,60018,United States,,,N,"465,831",Warehouse,,DHL,"11601 W Touhy Ave, Des Plaines, Illinois, 60018",-87.9016,42.00905,PJM,Comed,,,,,
306,CORE,Julia,DHL,1601 Remington Blvd,Bolingbrook,IL,60490,United States,,,N,"443,493",Industrial,,,"1601 Remington Blvd, Bolingbrook, Illinois, 60490",-88.1415,41.65311,PJM,Comed,Med,High,No,,
307,CORE,Julia,DHL,2065 George St,Melrose Park,IL,60160,United States,,,N,"509,000",Industrial,,,"2065 George Street, Melrose Park, Illinois, 60160",-87.8499,41.91382,PJM,Comed,0,Low,No,,
308,CORE,Julia,DHL,2451 Bath Rd,Elgin,IL,60124,United States,,,N,"326,272",Industrial,,,"2451 Bath Rd, Elgin, Illinois, 60124",-88.3392,42.07308,PJM,Comed,Med,Low,No,,
309,CORE,Julia,DHL,702 Commerce Center Dr,University Park,IL,60484,United States,,,N,"104,700",Industrial,,,"702 Commerce Center Dr, University Park, Illinois, 60484",-87.7395,41.44569,PJM,Comed,Med,High,No,,
310,CORE+,Julia,DHL,1 Sassacus Dr,Westborough,MA,1581,United States,,,N,"165,464",Warehouse,,,"1 Sassacus Drive, Westborough, Massachusetts, 01581",-71.644,42.27801,,N'Grid,,,,,
311,CORE,Julia,DHL,15-31 Papetti Plz,Elizabeth,NJ,7206,United States,,,PV,,Industrial,,,"15-31 Papetti Plz, Elizabethport, New Jersey, 07206",-74.1906,40.65794,PJM,PSE&G,,,,,
312,1+,Yonah,Diageo,24440 W 143rd St,Plainfield,IL,60544-8704,United States,,,,"135,000",Manufacturing,,,"24440 W 143rd St, Plainfield, Illinois, 60544",-88.2139,41.62243,PJM,Comed,,,,,
313,1+,Julia,Dichello Distributors,200 Research Dr,Milford,CT,6460,,,,N,"165,000",Distribution,,,"55 Marsh Hill Rd, Orange, Connecticut, 06477",-72.9973,41.24895,ISO-NE,,,,,,
314,1+,Yonah,DMSB Real Est MGMT LLc,51 S Walnut St,Wauregan,CT,6387,Windham,,,,"351,000",Manufacturing,,,"51 S Walnut St, Wauregan, Connecticut, 06387",-71.9121,41.74409,ISO-NE,,,,,,
315,1+,Julia,"Dolan Contractors, Inc.",32 Springside Rd,Westampton,NJ,8060,United States,,,,"682,708",Warehouse,,,"32 Springside Rd, Westampton, New Jersey, 08060",-74.8588,40.01249,PJM,PSE&G,,,,,
316,1+,Yonah,Dot Foods,251 Central Ave,University Park,IL,60484,United States,,,N,"332,000",Warehouse/Distribution,,,"251 Central Ave, University Park, Illinois, 60484",-87.7481,41.46185,PJM,Comed,,,,,
317,1+,Julia,DRA Advisors,20 Forbes Rd,Northborough,MA,1532,United States,,,,"112,700",,,Multi-tenant building,"20 Forbes Road, Northborough, Massachusetts, 01532",-71.6295,42.34996,ISO-NE,N'Grid,,,,17778098,
318,1+,Yonah,DS Containers,1789 Hubbard Ave,Batavia,IL,60510,United States,,,,"236,213",Manufacturing,,,"1789 Hubbard Ave, Batavia, Illinois, 60510",-88.2691,41.85963,PJM,Comed,,,,,
319,CORE,Yonah,DSV,1401 Devon Ave,Bensenville,IL,60106,United States,,,N,"300,000",Industrial,,,"1401 Devon Ave, Bensenville, Illinois, 60106",-87.964,41.99302,PJM,Comed,Med,Low,No,,
320,CORE,Yonah,DSV,143rd Street and S Steiner Rd,Plainfield,IL,60544,United States,,,N,"2,000,000",Industrial,,,"W 143rd St & S Steiner Rd, Plainfield, Illinois, 60544",-88.2413,41.62197,PJM,Comed,Large,High,Unclear,,
321,CORE,Yonah,DSV,800 Bilter Rd,Aurora,IL,60502,United States,,,N,"592,539",Industrial,,,"800 Bilter Rd, Aurora, Illinois, 60502",-88.2988,41.80657,PJM,Comed,Large,Low,No,,
322,CORE,Yonah,DSV,1005 W Middlesex Ave,Port Reading,NJ,7064,United States,,,PV,,Industrial,,,"1005 W Middlesex Ave, Port Reading, New Jersey, 07064",-74.2394,40.56514,PJM,PSE&G,,,,,
323,1+,Julia,Duchossois Capital Management,117 King St,New Bedford,MA,2745,United States,,,N,,,,,"117 King Street, New Bedford, Massachusetts, 02745",-70.9375,41.67059,ISO-NE,Eversource,,,,,
324,CORE,Julia,DuPont,26332 S Frontage Rd,Channahon,IL,60410,United States,,,N,"509,000",Refinery,,,"26332 S Frontage Rd, Channahon, Illinois, 60410",-88.1939,41.40638,PJM,Comed,Med,High,Unclear,,
325,CORE,Julia,DuPont,901 E Kankakee River Dr,Wilmington,IL,60481,United States,,,N,"430,000",Industrial,,,"901 E Kankakee River Dr, Wilmington, Illinois, 60481",-88.1365,41.32005,PJM,Comed,Large,High,Yes,,
326,CORE,Julia,DuPont,455 Forest St,Marlborough,MA,1752,United States,,,N,"170,000",Industrial,,,"455 Forest Street, Marlborough, Massachusetts, 01752",-71.5925,42.33119,ISO-NE,N'Grid,Med,Low,No,,
327,CORE,Julia,DuPont,250 Cheesequake Rd,Parlin,NJ,8859,United States,,,N,,Industrial,,,"250 Cheesequake Rd, Parlin, New Jersey, 08859",-74.327,40.4543,PJM,JCP&L,,,,,
328,CORE,Julia,DuPont,1500 John Tipton Blvd,Pennsauken,NJ,8110,United States,,,N,,Industrial,,,"1500 John Tipton Blvd, Pennsauken, New Jersey, 08110",-75.0396,39.98176,PJM,PSE&G,,,,,
329,1-,,DVM Pharmaceuticals,510 Grand Ave,New Haven,CT,6513,,,,N,,Manufacturing,,,"510 Grand Ave, New Haven, Connecticut, 06513",-72.9071,41.30866,ISO-NE,,Med,High,,,
330,1+,Julia,DWS Group,300 Ridge Rd,Piscataway,NJ,8854,United States,,,,"725,400",Distribution,,,"300 Ridge Rd, Piscataway, New Jersey, 08854",-74.5116,40.55669,PJM,PSE&G,Single,,,,
331,1,Yonah,Eames Real Est Co Llc,46 Barnes Industrial Rd S,Wallingford,CT,6492,,,,N,,Manufacturing,,,"46 Barnes Industrial Rd S, Wallingford, Connecticut, 06492",-72.8035,41.48029,ISO-NE,,Med,High,,,
332,1+,Julia,Eaton,160 Gold Star Blvd,Worcester,MA,1606,United States,,,,"231,600",Manufacturing,Industrial Machinery & Equipment,,"160 Gold Star Boulevard, Worcester, Massachusetts, 01606",-71.8025,42.29368,ISO-NE,N'Grid,,,,12271889,www.eaton.com
333,1,Julia,Ecb Realty Llc,2 Augusta Dr,Danbury,CT,6810,,,,N,,Manufacturing,,,"2 Augusta Dr, Danbury, Connecticut, 06810",-73.4246,41.4079,ISO-NE,,Med,Extremely High,,,
334,1+,Yonah,Echo HQ,400 Oakwood Rd,Lake Zurich,IL,60047-1561,United States,,,,"410,000",Manufacturing,,,"400 Oakwood Rd, Lake Zurich, Illinois, 60047",-88.0725,42.20208,PJM,Comed,,,,,
335,1,Yonah,EDAC Technologies Corporation,5 McKee Pl,Cheshire,CT,6410,,,,N,"293,253",Manufacturing,,,"5 McKee Pl, Cheshire, Connecticut, 06410",-72.9197,41.55317,ISO-NE,,Large,High,,,
336,1,Julia,Eder Brothers,11 Eder Rd,West Haven,CT,6516,,,,Y,"135,000",Warehouse,,,"11 Eder Rd, West Haven, Connecticut, 06516",-72.9792,41.26244,ISO-NE,,Med,High,,,
337,1+,Julia,Edgewell Personal Care,10 Leighton Rd,Milford,CT,06460-3552,New Haven,,,,"280,105",Warehouse,,,"10 Leighton Rd, Milford, Connecticut, 06460",-73.0391,41.23282,ISO-NE,,,,,,
338,1,Yonah,Edward Reiner,81 Black Rock Tpke,Fairfield,CT,6825,,,,N,,Manufacturing,,,"81 Black Rock Tpke, Fairfield, Connecticut, 06825",-73.2326,41.16308,ISO-NE,,Med,Extremely High,,,
339,1,Julia,Elecor Fittings,95 Johnson St,Waterbury,CT,6710,,,,N,,Manufacturing,,,"95 Johnson St, Waterbury, Connecticut, 06710",-73.05,41.56039,ISO-NE,,Med,High,,,
340,CORE,Yonah,Electrolux,801 Midpoint Rd,Minooka,IL,60447,United States,,,N,"965,183",Industrial,,,"801 Midpoint Rd, Minooka, Illinois, 60447",-88.2837,41.46538,PJM,Comed,Large,Medium,No,,
341,1+,Yonah,Elkay Plastics,1375 Mitchell Boulevard,Schaumburg,IL,60193,United States,,,N,"352,783",Plastic Fabrication,,,"1375 Mitchell Boulevard, Schaumburg, Illinois, 60193",-88.0916,42.00171,PJM,Comed,,,,,
342,1-,,Elm City Management,15-43 Marne St,Hamden,CT,6514,,,,N,,Manufacturing,,,"43 Marne St, Hamden, Connecticut, 06514",-72.9272,41.35507,ISO-NE,,Large,High,,,
343,1+,Julia,EMD Millipore Corp.,80 Ashby Rd,Bedford,MA,1730,United States,,,,"127,000",Manufacturing,Medical Devices & Equipment,,"80 Ashby Road, Bedford, Massachusetts, 01730",-71.2691,42.48234,ISO-NE,Eversource,,,,4.00E+08,www.emdmillipore.com
344,CORE,Julia,Emerson Electric,120 Park Ridge Rd,Brookfield,CT,6804,Fairfield,,,N,,Manufacturing,,,"120 Park Ridge Rd, Brookfield, Connecticut, 06804",-73.4038,41.42983,ISO-NE,Eversource,Med,Extremely High,Unclear,,
345,1+,Yonah,Emmett Group Llc,50 Emmett St,Bristol,CT,6010,Hartford,,,,"205,128",Manufacturing,,,"50 Emmett St, Bristol, Connecticut, 06010",-72.9136,41.66994,ISO-NE,,,,,,
346,1+,Julia,Engineered Materials Solutions,39 Perry Ave,Attleboro,MA,2703,United States,,,,,Minerals & Mining,,,"39 Perry Avenue, Attleboro, Massachusetts, 02703",-71.2716,41.94988,ISO-NE,N'Grid,,,,12976497,www.emsclad.com
347,1,Yonah,Environmental Products Corp.,99 Great Hill Rd,Naugatuck,CT,6770,,,,N,,Manufacturing,,,"99 Great Hill Rd, Naugatuck, Connecticut, 06770",-73.0347,41.50706,ISO-NE,,Med,High,,,
348,1-,,Eppoliti Realty Corp.,15 Great Pasture Rd,Danbury,CT,6810,,,,N,,Manufacturing,,,"15 Great Pasture Rd, Danbury, Connecticut, 06810",-73.4209,41.38452,ISO-NE,,Med,Extremely High,,,
349,1+,Yonah,EQT Real Estate,137 Lathrop Rd,Plainfield,CT,06374-2033,Windham,,,,"202,044",Distribution,,,"137 Lathrop Rd, Plainfield, Connecticut, 06374",-71.9111,41.66051,ISO-NE,,,,,,
350,1+,Julia,Equity Industrial Partners,349 Lake Rd,Killingly,CT,06241-1551,Windham,,,,"211,836",Warehouse,,,"349 Lake Rd, Dayville, Connecticut, 06241",-71.9006,41.86671,ISO-NE,,,,,,
351,1+,Julia,Equity Industrial Partners,297 State St,North Haven,CT,6473,New Haven,,,,"772,270",Distribution,,,"297 State St, North Haven, Connecticut, 06473",-72.8843,41.37397,ISO-NE,,,,,,
352,1+,Yonah,Erie Foods International,1201 S Main St,Rochelle,IL,61068,United States,,,N,"617,086",Food Manufacturing,,Two facilities on this plot. sq ft is the sum,"1201 S Main St, Rochelle, Illinois, 61068",-89.0502,41.90586,PJM,Comed,,,,,
353,1+,Julia,Erika Realty Trust,89 W Rodney French Blvd,New Bedford,MA,2744,United States,,,,,,,,"89 Rodney French Boulevard, New Bedford, Massachusetts, 02744",-70.9191,41.61378,ISO-NE,Eversource,,,,,
354,1+,Yonah,Esmark Steel Group CSI HQ,700 Central Ave,University Park,IL,60484-3138,United States,,,,"122,616",Manufacturing,,,"700 Central Ave, University Park, Illinois, 60484",-87.748,41.44754,PJM,Comed,,,,,
355,1+,Julia,Essendant,100 Liberty Way,Cranbury,NJ,8512,United States,,,PV,"575,900",Warehouse/Distribution,,,"100 Liberty Way, Cranbury, NJ 08512",-74.5011,40.32073,PJM,PSE&G,,,,,
356,1+,Yonah,Ethan Allen,21 Ethan Allen Rd,Newtown,CT,06470-2725,Fairfield,,,,"376,080",Warehouse,,,"21 Ethan Allen Rd, Newtown, Connecticut, 06470",-73.2755,41.37961,ISO-NE,,,,,,
357,1+,Julia,Express Kitchens,18 Main St,Bristol,CT,6010,Hartford,,,,"283,781",Manufacturing,,,"18 Main St, Bristol, Connecticut, 06010",-72.943,41.66954,ISO-NE,,,,,,
358,1+,Yonah,Exxon Mobil Corporation,1 Avenue J,Bayonne,NJ,7002,United States,,,,"165,000",Manufacturing,,,"1 Avenue J, Bayonne, New Jersey, 07002",-74.103,40.65641,PJM,PSE&G,Single,,,,
359,1,Julia,Factory Motor Parts,137 N Branford Rd,Branford,CT,6405,,,,N,,Manufacturing,,,"137 N Branford Rd, Branford, Connecticut, 06405",-72.7744,41.30323,ISO-NE,,Large,High,,,
360,1-,,Family Retirement Services,196 Mill St,Waterbury,CT,6706,,,,N,,Manufacturing,,,"196 Mill St, Waterbury, Connecticut, 06706",-73.036,41.55016,ISO-NE,,Large,High,,,
361,1+,Julia,Farmland Foods Inc,20 Carando Dr,Springfield,MA,1104,United States,,,,,,,,"20 Carando Drive, Springfield, Massachusetts, 01104",-72.5364,42.14444,ISO-NE,Eversource,,,,,
362,1,Yonah,Farrel Pomini,1 Farrell Dr,Ansonia,CT,6401,,,,N,,Manufacturing,,,"1 Farrell Dr, Ansonia, Connecticut, 06401",-73.058,41.3278,ISO-NE,,Med,High,,,
363,CORE,Yonah,Fedex,1260 Rowena Rd,Grayslake,IL,60030,United States,,,N,"300,000",Industrial,,,"1260 Rowena Rd, Grayslake, Illinois, 60030",-88.0316,42.32393,PJM,Comed,Med,Low,Unclear,,
364,CORE+,Yonah,FedEx,22060 Gougar Rd,New Lenox,IL,60451,United States,,,N,"1,138,000",Warehouse/Distribution,,,"22060 Gougar Rd, New Lenox, Illinois, 60451",-88.0034,41.49002,PJM,Comed,,,,,
365,CORE,Yonah,Fedex,3000 S Damen Ave,Chicago,IL,60608,United States,,,N,"509,000",Industrial,,,"3000 S Damen Ave, Chicago, Illinois, 60608",-87.6756,41.83644,PJM,Comed,0,Low,No,,
366,CORE,Yonah,Fedex,5959 W Howard St,Niles,IL,60714,United States,,,N,"104,700",Industrial,,,"5959 Howard Street, Niles, Illinois, 60714",-87.774,42.01912,PJM,Comed,Med,Low,No,,
367,CORE,Yonah,Fedex,920 Taylor Rd,Romeoville,IL,60446,United States,,,N,"308,955",Industrial,,,"920 W Taylor Rd, Romeoville, Illinois, 60446",-88.1059,41.62465,PJM,Comed,0,High,Unclear,,
368,CORE,Yonah,Fedex,1977 Fall River Ave,Seekonk,MA,2771,United States,,,N,,Industrial,,,"1977 Fall River Avenue, Seekonk, Massachusetts, 02771",-71.2957,41.77969,ISO-NE,N'Grid,0,Low,No,,
369,CORE,Yonah,Fedex,456 Sullivan Ave,South Windsor,CT,6074,Hartford,,,N,"304,249",Industrial,,,"456 Sullivan Ave, South Windsor, Connecticut, 06074",-72.5863,41.85328,ISO-NE,Eversource,Med,Extremely High,No,,
370,CORE,Yonah,Fedex,49 Fed Ex Dr,Middletown,CT,6457,Middlesex,,,Y,"600,000",Industrial,,,"49 Fed Ex Dr, Middletown, Connecticut, 06457",-72.7178,41.5989,ISO-NE,Eversource,Large,High,Yes,,
371,CORE,Yonah,Fedex,825 Lordship Blvd,Stratford,CT,6615,Fairfield,,,Y,"225,198",Industrial,,,"825 Lordship Blvd, Stratford, Connecticut, 06615",-73.1456,41.1675,ISO-NE,United Illuminating,0,Extremely High,No,,
372,CORE,Yonah,FedEx,39 Edgeboro Rd,East Brunswick,NJ,8816,United States,,,N,,Industrial,,,"39 Edgeboro Rd, East Brunswick, New Jersey, 08816",-74.3933,40.46589,PJM,PSE&G,,,,,
373,CORE+,Yonah,FedEx Corporation,495 Lordship Blvd,Stratford,CT,6615,Fairfield,,,,"368,000",Warehouse,,,"495 Lordship Blvd, Stratford, Connecticut, 06615",-73.1516,41.17028,ISO-NE,,,,,,
374,CORE,Yonah,FedEx Corporation,2525 Brunswick Ave,Linden,NJ,7036,United States,,,N,,Industrial,,,"2525 Brunswick Ave, Linden, New Jersey, 07036",-74.2154,40.64083,PJM,PSE&G,,,,,
375,CORE,Yonah,FedEx Ground,115-175 Della Ct,Carol Stream,IL,60188,United States,,,N,"300,000",Industrial,,,"175 Della Ct, Carol Stream, Illinois, 60188",-88.1224,41.89264,PJM,Comed,0,Low,No,,
376,CORE,Yonah,FedEx Ground,5 Commerce Dr,Barrington,NJ,8007,United States,,,N,,Industrial,,,"5 Commerce Dr, Barrington, New Jersey, 08007",-75.0424,39.86483,PJM,PSE&G,,,,,
377,CORE,Yonah,FedEx Ground,200 Milik St,Carteret,NJ,7008,United States,,,N,,Industrial,,,"200 Milik St, Carteret, New Jersey, 07008",-74.2512,40.58986,PJM,PSE&G,,,,,
378,CORE,Yonah,FedEx Ground,1049 Secaucus Rd,Jersey City,NJ,7307,United States,,,PV,,Industrial,,,"1049 Secaucus Rd, Jersey City, New Jersey, 07307",-74.0578,40.76197,PJM,PSE&G,,,,,
379,CORE,Yonah,FedEx Ground,173-268 Doremus Ave,Newark,NJ,7105,United States,,,N,,Industrial,,,"268 Doremus Ave, Newark, New Jersey, 07105",-74.1238,40.72408,PJM,PSE&G,,,,,
380,CORE,Yonah,FedEx Ground,584 US Highway 130,Trenton,NJ,8691,United States,,,PV,,Industrial,,,"584 US Highway 130, Robbinsville, New Jersey, 08691",-74.6558,40.18827,PJM,PSE&G,,,,,
381,CORE,Yonah,FedEx Office,63 Stults Rd,Dayton,NJ,8810,United States,,,N,,Industrial,,,"63 Stults Rd, Dayton, New Jersey, 08810",-74.4833,40.3583,PJM,PSE&G,,,,,
382,CORE,Yonah,FedEx Office,25-53 Talmadge Rd,Edison,NJ,8817,United States,,,PV,,Industrial,,,"25-53 Talmadge Rd, Edison, New Jersey, 08817",-74.3871,40.53134,PJM,PSE&G,,,,,
383,CORE,Yonah,FedEx Office,6000 Riverside Dr,Keasbey,NJ,8832,United States,,,PV,,Industrial,,,"6000 Riverside Dr, Keasbey, New Jersey, 08832",-74.3254,40.5083,PJM,PSE&G,,,,,
384,CORE,Yonah,FedEx Office,155 Scargo Earhart Dr,Newark,NJ,7114,United States,,,PV,,Industrial,,,"155 Earhart Dr, Newark, New Jersey, 07114",-74.1853,40.67659,PJM,PSE&G,,,,,
385,CORE,Yonah,FedEx Office,2393 Vauxhall Rd,Union Township,NJ,7083,United States,,,N,,Industrial,,,"2393 Vauxhall Rd, Union, New Jersey, 07083",-74.2767,40.70829,PJM,PSE&G,,,,,
386,1+,Yonah,Fellowes Brands HQ,1789 Norwood Ave,Itasca,IL,60143-1059,United States,,,,"298,666",Manufacturing,,,"1789 Norwood Ave, Itasca, Illinois, 60143",-88.0451,41.9875,PJM,Comed,,,,,
387,1,Julia,"Feroleto Steel Company, Inc.",300 Scofield Ave,Bridgeport,CT,6605,,,,N,,Manufacturing,,,"300 Scofield Ave, Bridgeport, Connecticut, 06605",-73.2266,41.16365,ISO-NE,,Large,Extremely High,,,
388,1+,Julia,Ferrara Candy,801 Gurler Rd,Dekalb,IL,60115,United States,,,N,"1,241,906",Food Warehouse,,,"801 Gurler Rd, Dekalb, Illinois, 60115",-88.7471,41.89286,PJM,Comed,,,,,
389,1+,Yonah,FIC America Corp,301 Longview Dr,Bloomingdale,IL,60108,United States,,,N,"159,007",Manufacturing,,Second IL site,"301 Longview Dr, Bloomingdale, Illinois, 60108",-88.1045,41.93272,PJM,Comed,,,,,
390,1+,Yonah,FIC America Corp,485 E Lies Rd,Carol Stream,IL,60188,United States,,,N,"269,943",Manufacturing,,,"485 E Lies Rd, Carol Stream, Illinois, 60188",-88.1032,41.92888,PJM,Comed,,,,,
391,1+,Julia,Filtran Filtration Group HQ,875 Seegers Rd,Des Plaines,IL,60016-3045,United States,,,,"115,472",Distribution,,,"875 Seegers Road, Des Plaines, Illinois, 60016",-87.9002,42.05283,PJM,Comed,,,,,
392,1+,Yonah,First American Realty Inc.,529-533 Pleasant St,Attleboro,MA,2703,United States,,,,,Real Estate,,,"533 Pleasant Street, Attleboro, Massachusetts, 02703",-71.2645,41.94957,ISO-NE,N'Grid,,,,3.56E+08,www.firstamericanrealtyinc.com
393,1+,Yonah,First American Realty Inc.,24 Hopedale St,Hopedale,MA,1747,United States,,,,,,,,"24 Hopedale Street, Hopedale, Massachusetts, 01747",-71.5425,42.13209,ISO-NE,N'Grid,,,,3.56E+08,
394,1+,Julia,First Highland,200 Theodore Rice Blvd,New Bedford,MA,2745,United States,,,,,,,,"200 Theodore H Rice Boulevard, New Bedford, Massachusetts, 02745",-70.9523,41.72519,ISO-NE,Eversource,,,,,
395,1+,Yonah,"First Industrial Realty Trust, Inc.",400 Cedar Ln,Florence,NJ,8518,United States,,,,"577,200",Distribution,,,"400 Cedar Ln, Florence, New Jersey, 08518",-74.7988,40.11163,PJM,PSE&G,Single,,,,
